'GND(<0hB'		'40'	'0'	'00'	'335028'	'1'	'СЕВАСТОПОЛЬ'	'28 В/Ч 10462'	'044587002'	'ПУ БАНКА РОССИИ N 10462'	'БАНКА РОССИИ N 10462'	'040009002'		'951803'	'00'						05.09.05			20.01.94		
'i6m19aBC'		'40'	'0'	'00'	'003148'			'П/П 03148'	'044587002'	'ПУ БАНКА РОССИИ N 03148'	'БАНКА РОССИИ N 03148'	'040012002'		'608617'	'00'						27.10.03			20.01.94		
'>Jc1kk%l'		'40'	'0'	'00'	'083604'			'П/П 83604'	'044587002'	'ПУ БАНКА РОССИИ N 83604'	'БАНКА РОССИИ N 83604'	'040021002'		'952114'	'00'						27.10.03			17.02.94		
't80hlt(s'		'40'	'0'	'00'	'083524'			'П/П 83524'	'044587002'	'ПУ БАНКА РОССИИ N 83524'	'БАНКА РОССИИ N 83524'	'040031002'		'951494'	'00'						27.10.03			20.01.94		
'Kw1?Vuwl'		'40'	'0'	'00'	'025631'			'П/П 25631'	'044587002'	'ПУ БАНКА РОССИИ N 25631'	'БАНКА РОССИИ N 25631'	'040037002'		'609047'	'00'	'140014'					27.10.03			20.01.94		
'$mgrAUbU'		'40'	'0'	'00'	'720000'	'1'	'БИШКЕК'	'ГЛАВПОЧТАМТ А/Я 2021 В/Ч 10513'	'044587002'	'ПУ БАНКА РОССИИ N 10513'	'БАНКА РОССИИ N 10513'	'040041002'		'951814'	'00'						27.10.03			20.01.94		
'2$0BVsJh'		'40'	'0'	'00'	'018001'			'П/П 18001'	'044587002'	'ПУ БАНКА РОССИИ N 18001'	'БАНКА РОССИИ N 18001'	'040045002'		'951900'	'00'						27.10.03			20.01.94		
'|#v=o9?p'		'40'	'0'	'00'	'064106'			'П/П 64106'	'044587002'	'ПУ БАНКА РОССИИ N 64106'	'БАНКА РОССИИ N 64106'	'040047002'		'951944'	'00'						27.10.03			20.01.94		
'M+oeJZ)6'		'10'	'3'	'01'	'659690'	'3'	'СОЛОНЕШНОЕ'	'УЛ.КРАСНОАРМЕЙСКАЯ,8'	'040173001'	'РКЦ СОЛОНЕШНОЕ'	'СОЛОНЕШНОЕ'	'040118000'		'101426'	'03'			'(8294)22150,22545'		'09101429'	27.10.03			20.01.94		
'rFa5d$dB'		'10'	'3'	'01'	'659560'	'3'	'БЫСТРЫЙ ИСТОК'	'УЛ.ЛЕНИНА,48'	'040173001'	'РКЦ БЫСТРЫЙ ИСТОК'	'БЫСТРЫЙ ИСТОК'	'040119000'		'101095'	'03'	'233026'		'(8271)22145,22495'		'09101091'	27.10.03			20.01.94		
'nznLeR@v'		'10'	'3'	'01'	'659520'	'3'	'СОЛТОН'	'УЛ.МОЛОДЕЖНАЯ,45'	'040173001'	'РКЦ СОЛТОН'	'СОЛТОН'	'040122000'		'101437'	'03'			'(8233)22239,22338'		'09101435'	27.10.03			20.01.94		
'BFYgbLOK'		'10'	'3'	'01'	'658480'	'1'	'ЗМЕИНОГОРСК'	'УЛ.ПУГАЧЕВА,2'	'040173001'	'РКЦ ЗМЕИНОГОРСК'	'ЗМЕИНОГОРСК'	'040125000'		'101158'	'03'	'233815'		'(8217)22808,22998'		'09101151'	15.06.04			20.01.94		
'oEgdK(sf'		'10'	'3'	'01'	'658420'	'1'	'ГОРНЯК'	'УЛ.МИРОНОВА,114 А'	'040173001'	'РКЦ ГОРНЯК'	'ГОРНЯК'	'040137000'		'101299'	'03'	'233768'		'(8216)32121,31921'		'09101292'	27.10.03			20.01.94		
'%o#MT!VU'		'10'	'3'	'01'	'658960'	'3'	'МИХАЙЛОВСКОЕ'	'УЛ.ЦЕНТРАЛЬНАЯ,9'	'040173001'	'РКЦ МИХАЙЛОВСКОЕ'	'МИХАЙЛОВСКОЕ'	'040139000'		'101590'	'02'	'733572'		'(8270)22898,22498'		'09101599'	27.10.03			20.01.94		
